X_pos,Y_pos,Z_pos,X_pos_ref,Y_pos_ref,Z_pos_ref,X_vel,Y_vel,Z_vel,X_vel_ref,Y_vel_ref,Z_vel_ref,X_pos_err,X_pos_err_upper,X_pos_err_lower,Y_pos_err,Y_pos_err_upper,Y_pos_err_lower,Z_pos_err,Z_pos_err_upper,Z_pos_err_lower,X_vel_err,X_vel_err_upper,X_vel_err_lower,Y_vel_err,Y_vel_err_upper,Y_vel_err_lower,Z_vel_err,Z_vel_err_upper,Z_vel_err_lower
[1.91544826],[-5.04143544],[2.35346427],11.47029715659302,13.246053032942456,0.5684795656484629,[1.17036741],[-5.33218485],[2.62747686],0.9299476538589603,0.3845055524529894,0.14233369811535182,[9.80703401],32.22421224742869,-32.22421224742869,[23.7844417],32.22421224742869,-32.22421224742869,[-3.65165919],32.22421224742869,-32.22421224742869,[2.57877593],9.504504882628861,-9.504504882628861,[5.61482385],,,[-0.25609748],,
[1.93572103],[-5.14927432],[2.40303393],11.488896109670199,13.253743143991516,0.57132623961077,[1.01363846],[-5.39194404],[2.47848336],0.9299476538589603,0.3845055524529894,0.14233369811535182,[9.8598278],32.254658353468024,-32.254658353468024,[23.89559441],32.254658353468024,-32.254658353468024,[-3.65683067],32.254658353468024,-32.254658353468024,[2.63968952],9.506871886373343,-9.506871886373343,[5.55763557],,,[-0.25857385],,
[1.95525047],[-5.26020283],[2.45195798],11.507495062747378,13.261433255040576,0.5741729135730771,[0.97647196],[-5.54642539],[2.44620224],0.9299476538589603,0.3845055524529894,0.14233369811535182,[9.91777124],32.286195231414425,-32.286195231414425,[24.00444042],32.286195231414425,-32.286195231414425,[-3.66561552],32.286195231414425,-32.286195231414425,[2.89717174],9.509238300932198,-9.509238300932198,[5.44230062],,,[-0.43924275],,
[1.96135923],[-5.37571464],[2.49697311],11.526094015824556,13.269123366089635,0.5770195875353842,[0.30543809],[-5.77559035],[2.2507564],0.9299476538589603,0.3845055524529894,0.14233369811535182,[9.97963483],32.3188202450758,-32.3188202450758,[24.11338758],32.3188202450758,-32.3188202450758,[-3.67231807],32.3188202450758,-32.3188202450758,[3.09317964],9.511604126745176,-9.511604126745176,[5.44735791],,,[-0.33512749],,
[1.96778831],[-5.49225365],[2.54186346],11.544692968901735,13.276813477138695,0.5798662614976913,[0.32145418],[-5.82695084],[2.24451756],0.9299476538589603,0.3845055524529894,0.14233369811535182,[10.04432151],32.35253065892198,-32.35253065892198,[24.21898973],32.35253065892198,-32.35253065892198,[-3.67866223],32.35253065892198,-32.35253065892198,[3.23433414],9.513969364251487,-9.513969364251487,[5.28010734],,,[-0.31720788],,
[1.98119123],[-5.60755941],[2.583606],11.563291921978914,13.284503588187755,0.5827129354599984,[0.67014596],[-5.76528798],[2.08712698],0.9299476538589603,0.3845055524529894,0.14233369811535182,[10.10805101],32.387323639502895,-32.387323639502895,[24.32465309],32.387323639502895,-32.387323639502895,[-3.68405852],32.387323639502895,-32.387323639502895,[3.18647515],9.516334013889796,-9.516334013889796,[5.28316803],,,[-0.26981439],,
[1.98300594],[-5.72400366],[2.6306216],11.581890875056093,13.292193699236815,0.5855596094223054,[0.09073537],[-5.82221238],[2.35078011],0.9299476538589603,0.3845055524529894,0.14233369811535182,[10.17776057],32.42319625690487,-32.42319625690487,[24.42659072],32.42319625690487,-32.42319625690487,[-3.68910154],32.42319625690487,-32.42319625690487,[3.48547799],9.518698076098216,-9.518698076098216,[5.09688146],,,[-0.25215089],,
[1.98416378],[-5.84416477],[2.67120199],11.600489828133272,13.299883810285875,0.5884062833846125,[0.05789198],[-6.0080556],[2.02901961],0.9299476538589603,0.3845055524529894,0.14233369811535182,[10.24671657],32.46014548624342,-32.46014548624342,[24.52623442],32.46014548624342,-32.46014548624342,[-3.69751957],32.46014548624342,-32.46014548624342,[3.44779956],9.521061551314322,-9.521061551314322,[4.98218492],,,[-0.42090168],,
[1.98819114],[-5.96108679],[2.71964316],11.61908878121045,13.307573921334935,0.5912529573469196,[0.20136784],[-5.84610078],[2.42205834],0.9299476538589603,0.3845055524529894,0.14233369811535182,[10.30711559],32.49816820919078,-32.49816820919078,[24.62592514],32.49816820919078,-32.49816820919078,[-3.71575953],32.49816820919078,-32.49816820919078,[3.01995096],9.523424439975145,-9.523424439975145,[4.98453635],,,[-0.91199786],,
[1.99411483],[-6.08011589],[2.76597749],11.63768773428763,13.315264032383995,0.5940996313092267,[0.29618446],[-5.95145518],[2.31671642],0.9299476538589603,0.3845055524529894,0.14233369811535182,[10.36872908],32.537261215536866,-32.537261215536866,[24.72662688],32.537261215536866,-32.537261215536866,[-3.72677067],32.537261215536866,-32.537261215536866,[3.08067466],9.525786742517171,-9.525786742517171,[5.03508684],,,[-0.55055715],,
